race,sex,LSAT,UGPA,ZFYA
1.00,1.00,32.00,2.99,-0.67
1.00,1.00,38.00,2.82,2.45
1.00,0.00,32.00,2.77,-0.25
1.00,1.00,32.00,3.26,0.96
1.00,1.00,31.00,2.09,-0.81
1.00,1.00,26.00,2.99,-0.85
1.00,1.00,24.00,2.34,0.98
1.00,1.00,23.00,3.00,-1.57
1.00,1.00,34.00,3.56,0.08
1.00,0.00,25.00,3.72,-0.61
1.00,0.00,23.00,3.48,2.22
1.00,0.00,30.00,2.93,-0.11
1.00,1.00,42.00,3.96,-0.95
1.00,1.00,30.00,3.20,-0.16
1.00,1.00,39.00,2.79,2.74
1.00,0.00,31.00,2.87,-0.98
1.00,0.00,36.00,3.26,-1.18
1.00,0.00,32.00,2.91,0.84
1.00,0.00,22.00,2.73,-0.29
1.00,0.00,24.00,3.12,-0.79
1.00,1.00,32.00,3.28,-0.63
1.00,1.00,26.00,2.97,-0.71
1.00,1.00,37.00,3.33,-0.09
1.00,1.00,32.00,3.52,-2.30
1.00,0.00,27.00,2.38,-1.00
1.00,0.00,26.00,3.13,-1.46
1.00,0.00,38.00,2.86,-1.33
1.00,0.00,34.00,2.89,-1.20
1.00,1.00,27.00,3.02,-0.49
1.00,0.00,29.00,3.37,0.44
1.00,1.00,30.00,3.13,-0.46
1.00,1.00,28.00,3.08,-0.11
1.00,0.00,43.00,3.43,0.19
1.00,1.00,39.00,2.30,-0.97
1.00,0.00,31.00,3.21,0.18
1.00,0.00,38.00,2.90,0.08
1.00,0.00,23.00,2.79,-0.50
1.00,1.00,23.00,3.48,-0.58
1.00,0.00,35.00,2.95,-0.12
1.00,0.00,28.00,3.24,0.97
1.00,0.00,45.00,3.52,0.51
1.00,1.00,33.00,2.63,1.01
1.00,1.00,30.00,3.12,-0.17
1.00,0.00,22.00,2.97,1.20
1.00,1.00,36.00,3.31,-0.75
1.00,1.00,31.00,2.57,-0.88
1.00,0.00,38.00,3.32,0.33
1.00,1.00,24.00,3.19,-1.00
1.00,0.00,47.00,2.82,-0.27
1.00,1.00,35.00,3.03,0.18
1.00,0.00,30.00,2.50,0.54
1.00,0.00,22.00,1.98,-1.01
1.00,0.00,24.00,2.40,0.86
1.00,0.00,31.00,2.72,0.46
1.00,0.00,28.00,3.24,-0.82
1.00,0.00,35.00,2.67,1.70
1.00,1.00,34.00,2.88,-0.63
1.00,0.00,33.00,2.71,0.33
1.00,0.00,32.00,2.74,0.40
1.00,0.00,22.00,3.53,-0.23
1.00,0.00,35.00,2.76,0.73
1.00,0.00,29.00,3.45,0.32
1.00,1.00,25.00,3.21,0.27
1.00,1.00,39.00,2.56,-0.23
1.00,1.00,34.00,3.69,2.21
1.00,0.00,39.00,3.29,-0.75
1.00,0.00,33.00,3.71,-0.84
1.00,0.00,35.00,3.80,-0.95
1.00,0.00,34.00,3.19,-0.22
1.00,1.00,30.00,2.22,0.87
1.00,1.00,28.00,3.54,1.10
1.00,0.00,39.00,3.47,-0.80
1.00,1.00,29.00,2.66,-0.10
1.00,1.00,39.00,2.86,-1.57
1.00,1.00,24.00,2.90,1.42
1.00,0.00,32.00,3.75,0.34
1.00,0.00,34.00,3.59,1.76
1.00,0.00,32.00,3.77,-1.13
1.00,1.00,40.00,2.90,2.38
1.00,0.00,37.00,2.81,1.44
1.00,1.00,26.00,2.32,-0.60
1.00,0.00,37.00,3.37,0.34
1.00,0.00,35.00,3.63,1.14
1.00,1.00,30.00,2.98,-0.81
1.00,0.00,31.00,3.18,-0.40
1.00,1.00,25.00,2.83,0.27
1.00,1.00,33.00,2.94,-0.44
1.00,0.00,38.00,3.14,0.91
1.00,1.00,39.00,2.54,0.68
1.00,1.00,46.00,3.38,0.63
1.00,1.00,28.00,2.15,-1.18
1.00,0.00,40.00,2.40,-1.18
1.00,0.00,30.00,3.02,-1.30
1.00,1.00,31.00,3.36,1.84
1.00,0.00,40.00,3.40,-1.12
1.00,1.00,36.00,3.21,1.16
1.00,0.00,23.00,2.82,0.10
1.00,0.00,33.00,2.62,0.45
1.00,1.00,23.00,2.87,1.18
1.00,0.00,29.00,3.21,-0.52
1.00,1.00,26.00,3.32,0.06
1.00,0.00,22.00,3.20,0.44
1.00,1.00,29.00,3.09,0.76
1.00,1.00,30.00,2.38,0.72
1.00,0.00,26.00,3.32,0.11
1.00,0.00,34.00,2.90,0.80
1.00,0.00,30.00,2.37,-0.14
1.00,1.00,34.00,2.81,0.70
1.00,0.00,35.00,3.11,-0.07
1.00,1.00,40.00,2.57,1.27
1.00,0.00,29.00,3.27,1.67
1.00,1.00,38.00,2.96,-0.24
1.00,0.00,35.00,3.13,-0.17
1.00,0.00,33.00,3.88,1.42
1.00,1.00,31.00,3.24,-0.63
1.00,1.00,25.00,2.71,-1.58
1.00,1.00,30.00,2.33,1.74
1.00,1.00,28.00,2.19,0.23
1.00,1.00,28.00,3.51,-0.94
1.00,0.00,33.00,2.84,-1.13
1.00,1.00,34.00,3.16,1.06
1.00,0.00,27.00,2.96,-1.41
1.00,0.00,32.00,4.21,-1.02
1.00,1.00,23.00,2.97,2.07
1.00,1.00,25.00,2.17,-1.05
1.00,0.00,32.00,2.53,-0.83
1.00,0.00,34.00,2.97,-1.26
1.00,1.00,39.00,2.99,0.02
1.00,0.00,25.00,3.38,-0.56
1.00,1.00,36.00,2.62,-1.50
1.00,0.00,31.00,2.91,1.43
1.00,0.00,34.00,3.41,2.03
1.00,1.00,38.00,3.39,1.38
1.00,1.00,27.00,3.02,1.22
1.00,1.00,19.00,2.08,0.84
1.00,1.00,34.00,2.68,-2.24
1.00,0.00,26.00,2.87,-0.56
1.00,1.00,38.00,2.84,0.34
1.00,1.00,38.00,3.14,0.67
1.00,0.00,33.00,3.31,-0.33
1.00,1.00,23.00,2.87,1.17
1.00,1.00,45.00,2.55,-0.61
1.00,0.00,24.00,2.53,-0.58
1.00,0.00,41.00,3.19,-0.39
1.00,0.00,44.00,3.49,-1.31
1.00,0.00,35.00,2.41,2.19
1.00,1.00,36.00,2.37,0.95
1.00,0.00,38.00,2.92,-0.34
1.00,0.00,38.00,3.05,0.69
1.00,0.00,31.00,3.49,-0.42
1.00,1.00,28.00,2.87,-1.12
1.00,1.00,35.00,3.23,0.00
1.00,1.00,29.00,2.99,-0.41
1.00,0.00,36.00,3.52,0.71
1.00,0.00,33.00,3.65,-0.01
1.00,0.00,25.00,2.45,-0.42
1.00,1.00,30.00,2.82,0.77
1.00,1.00,22.00,3.04,0.86
1.00,1.00,28.00,3.05,-0.36
1.00,1.00,32.00,3.24,0.99
1.00,0.00,37.00,3.86,-0.92
1.00,1.00,35.00,2.50,0.73
1.00,0.00,20.00,3.40,0.98
1.00,1.00,31.00,2.85,1.14
1.00,1.00,29.00,2.93,-0.33
1.00,1.00,27.00,3.02,0.27
1.00,0.00,37.00,3.41,0.83
1.00,0.00,32.00,3.24,-0.27
1.00,0.00,33.00,3.21,1.34
1.00,1.00,28.00,3.50,0.52
1.00,0.00,25.00,2.47,0.04
1.00,0.00,28.00,2.49,1.04
1.00,1.00,34.00,2.60,0.89
1.00,1.00,34.00,3.22,-0.39
1.00,1.00,23.00,2.55,0.47
1.00,1.00,27.00,3.19,2.41
1.00,1.00,29.00,2.94,-0.41
1.00,1.00,28.00,3.65,-0.66
1.00,0.00,36.00,3.28,0.10
1.00,1.00,33.00,2.71,-0.15
1.00,1.00,30.00,2.34,-0.99
1.00,1.00,33.00,3.37,-0.99
1.00,1.00,22.00,3.05,-0.78
1.00,1.00,31.00,2.54,-0.02
1.00,0.00,26.00,2.61,-0.23
1.00,1.00,27.00,2.64,-0.98
1.00,1.00,34.00,3.34,0.01
1.00,1.00,38.00,2.83,0.56
1.00,1.00,35.00,3.59,1.87
1.00,1.00,24.00,2.63,0.18
1.00,0.00,33.00,2.81,-1.32
1.00,0.00,45.00,2.46,-1.34
1.00,0.00,24.00,2.81,-1.15
1.00,0.00,34.00,2.98,1.83
1.00,1.00,34.00,2.76,-1.05
1.00,1.00,39.00,3.12,-0.79
1.00,0.00,30.00,2.19,0.24
1.00,1.00,26.00,3.17,-2.22
1.00,1.00,29.00,3.18,1.23
1.00,1.00,36.00,2.87,0.77
1.00,1.00,27.00,3.10,0.12
1.00,0.00,32.00,3.09,-0.81
1.00,0.00,19.00,2.52,0.23
1.00,1.00,38.00,2.82,1.44
1.00,0.00,28.00,2.18,0.54
1.00,0.00,36.00,3.21,-0.96
1.00,0.00,45.00,3.25,1.28
1.00,1.00,36.00,2.96,0.23
1.00,1.00,30.00,1.92,0.01
1.00,0.00,36.00,2.77,-0.31
1.00,0.00,30.00,2.36,-0.07
1.00,1.00,34.00,3.33,0.64
1.00,1.00,36.00,2.91,-0.53
1.00,1.00,48.00,3.08,0.79
1.00,0.00,37.00,2.60,1.57
1.00,0.00,24.00,2.38,-1.59
1.00,1.00,39.00,2.97,-1.02
1.00,0.00,29.00,2.24,0.12
1.00,0.00,39.00,2.67,-1.38
1.00,1.00,33.00,3.23,0.72
1.00,0.00,45.00,3.18,1.70
1.00,0.00,30.00,2.83,1.45
1.00,0.00,42.00,3.05,1.54
1.00,0.00,26.00,3.10,-0.56
1.00,0.00,33.00,2.56,-0.88
1.00,1.00,23.00,2.77,0.34
1.00,0.00,31.00,3.06,0.28
1.00,1.00,41.00,3.11,0.55
1.00,0.00,29.00,2.40,1.49
1.00,1.00,48.00,3.33,-0.82
1.00,0.00,37.00,3.15,1.98
1.00,0.00,24.00,3.05,-0.25
1.00,1.00,28.00,2.75,-0.35
1.00,1.00,42.00,2.96,1.48
1.00,0.00,33.00,2.60,0.18
1.00,0.00,30.00,2.64,-0.94
1.00,1.00,39.00,3.77,-1.28
1.00,0.00,33.00,3.06,-1.54
1.00,0.00,30.00,3.21,0.05
1.00,1.00,28.00,3.31,1.33
1.00,1.00,26.00,2.53,-1.15
1.00,0.00,40.00,3.23,1.04
1.00,0.00,26.00,2.52,0.10
1.00,0.00,30.00,3.42,1.58
1.00,1.00,37.00,3.26,-0.65
1.00,0.00,29.00,3.49,-0.50
1.00,1.00,33.00,3.88,-0.31
1.00,0.00,28.00,2.98,-0.33
1.00,1.00,36.00,2.92,-1.34
1.00,0.00,30.00,2.89,-0.41
1.00,0.00,21.00,2.64,-0.60
1.00,1.00,25.00,2.58,-1.13
1.00,1.00,33.00,2.28,-1.81
1.00,0.00,37.00,3.41,0.12
1.00,0.00,23.00,2.88,0.01
1.00,0.00,28.00,2.65,1.72
1.00,1.00,28.00,2.90,-1.13
1.00,0.00,20.00,2.70,-1.82
1.00,1.00,43.00,3.16,0.26
1.00,0.00,34.00,3.06,0.38
1.00,1.00,41.00,3.11,0.49
1.00,0.00,36.00,2.91,0.38
1.00,1.00,29.00,3.63,0.11
1.00,1.00,39.00,2.94,1.35
1.00,0.00,34.00,2.70,-0.45
1.00,0.00,32.00,2.46,-0.42
1.00,0.00,36.00,3.07,1.32
1.00,0.00,35.00,2.86,0.68
1.00,1.00,32.00,2.50,-0.37
1.00,1.00,27.00,2.96,0.54
1.00,1.00,26.00,2.60,-1.04
1.00,1.00,34.00,2.66,-1.83
1.00,0.00,32.00,3.09,2.89
1.00,1.00,38.00,2.71,-0.71
1.00,1.00,29.00,2.00,0.75
1.00,0.00,44.00,2.45,0.05
1.00,0.00,31.00,2.82,1.61
1.00,1.00,34.00,2.79,0.44
1.00,0.00,26.00,2.18,1.29
1.00,0.00,33.00,3.54,-1.66
1.00,1.00,27.00,3.35,0.21
1.00,1.00,28.00,2.86,0.72
1.00,1.00,27.00,2.89,0.68
1.00,1.00,33.00,2.95,-0.16
1.00,0.00,43.00,3.65,0.73
1.00,0.00,28.00,3.37,-1.05
1.00,0.00,34.00,4.05,-1.70
1.00,1.00,35.00,3.31,1.57
1.00,0.00,30.00,3.05,-0.90
1.00,0.00,25.00,2.45,-1.53
1.00,0.00,27.00,2.67,0.61
1.00,1.00,31.00,3.08,-0.93
1.00,1.00,27.00,3.52,-1.13
1.00,0.00,21.00,3.18,0.29
1.00,1.00,29.00,2.88,-0.05
1.00,1.00,43.00,3.09,-0.49
1.00,1.00,34.00,2.42,0.44
1.00,0.00,29.00,2.79,-0.29
1.00,0.00,27.00,2.74,1.70
1.00,0.00,45.00,3.37,-0.83
1.00,0.00,30.00,2.21,0.19
1.00,0.00,33.00,3.31,0.43
1.00,1.00,35.00,2.69,0.08
1.00,1.00,38.00,2.54,-0.31
1.00,1.00,34.00,2.50,-1.30
1.00,0.00,31.00,2.68,1.92
1.00,0.00,33.00,3.30,0.65
1.00,0.00,28.00,3.54,-0.22
1.00,1.00,27.00,2.56,-0.48
1.00,0.00,40.00,3.27,0.46
1.00,0.00,31.00,3.07,1.17
1.00,0.00,27.00,2.28,1.47
1.00,1.00,30.00,3.63,1.34
1.00,0.00,17.00,1.94,0.04
1.00,1.00,19.00,3.30,1.28
1.00,0.00,36.00,2.47,-1.84
1.00,1.00,36.00,2.72,0.40
1.00,0.00,32.00,3.37,-1.25
1.00,0.00,29.00,3.38,1.32
1.00,0.00,36.00,2.84,0.67
1.00,0.00,28.00,3.41,-1.52
1.00,1.00,38.00,3.28,0.42
1.00,0.00,24.00,2.89,1.05
1.00,0.00,33.00,2.86,0.70
1.00,1.00,23.00,3.14,1.38
1.00,1.00,26.00,2.63,-0.81
1.00,1.00,25.00,2.67,-0.59
1.00,0.00,32.00,2.98,-0.06
1.00,0.00,35.00,2.68,0.02
1.00,1.00,39.00,2.73,-0.58
1.00,0.00,36.00,2.76,-0.70
1.00,0.00,40.00,2.62,0.51
1.00,0.00,32.00,3.03,-1.67
1.00,1.00,35.00,2.75,-1.20
1.00,0.00,37.00,2.71,0.15
1.00,1.00,39.00,2.81,0.61
1.00,0.00,34.00,2.65,0.74
1.00,0.00,40.00,3.21,-2.20
1.00,1.00,30.00,3.10,3.19
1.00,1.00,35.00,2.75,-0.53
1.00,0.00,18.00,2.63,0.07
1.00,0.00,35.00,2.69,-0.22
1.00,1.00,25.00,2.76,0.63
1.00,0.00,27.00,2.55,0.50
1.00,1.00,27.00,3.26,0.39
1.00,1.00,33.00,2.17,-2.02
1.00,0.00,32.00,3.29,-0.16
1.00,1.00,19.00,2.88,0.22
1.00,1.00,20.00,2.15,0.35
1.00,0.00,30.00,2.43,-0.50
1.00,0.00,31.00,3.00,0.57
1.00,1.00,34.00,2.33,0.26
1.00,0.00,32.00,3.27,1.17
1.00,0.00,36.00,2.88,0.68
1.00,1.00,31.00,2.73,1.13
1.00,1.00,28.00,3.13,1.52
1.00,1.00,29.00,2.89,-0.82
1.00,0.00,34.00,3.37,0.35
1.00,0.00,25.00,3.30,0.74
1.00,1.00,45.00,3.12,0.88
1.00,1.00,35.00,3.09,-1.49
1.00,1.00,32.00,2.91,-0.88
1.00,0.00,25.00,3.15,-1.37
1.00,1.00,27.00,2.62,-0.90
1.00,1.00,38.00,2.76,-1.93
1.00,1.00,31.00,3.07,0.76
1.00,0.00,31.00,3.50,-0.91
1.00,1.00,20.00,2.83,-1.53
1.00,0.00,32.00,3.06,-0.36
1.00,1.00,36.00,3.01,-0.76
1.00,0.00,25.00,3.14,0.60
1.00,1.00,22.00,2.84,-1.77
1.00,0.00,30.00,2.57,1.02
1.00,0.00,30.00,3.01,2.05
1.00,1.00,41.00,3.12,-0.44
1.00,0.00,32.00,2.68,-0.23
1.00,0.00,26.00,3.30,3.04
1.00,1.00,29.00,2.88,-0.24
1.00,1.00,39.00,2.79,-0.51
1.00,0.00,26.00,2.89,0.05
1.00,0.00,30.00,2.87,0.08
1.00,0.00,37.00,3.21,0.29
1.00,1.00,44.00,2.56,-0.49
1.00,1.00,32.00,3.27,0.25
1.00,0.00,38.00,3.20,1.76
1.00,1.00,31.00,2.71,0.40
1.00,0.00,37.00,3.92,0.58
1.00,1.00,23.00,2.84,-0.63
1.00,0.00,24.00,2.85,-0.96
1.00,1.00,31.00,2.57,0.65
1.00,1.00,40.00,3.20,1.27
1.00,0.00,41.00,3.21,-1.97
1.00,1.00,28.00,2.64,-2.65
1.00,0.00,28.00,2.57,0.21
1.00,0.00,31.00,3.33,-0.06
1.00,0.00,25.00,2.94,0.40
1.00,1.00,29.00,2.92,-0.06
1.00,1.00,23.00,2.93,-1.58
1.00,1.00,34.00,3.18,0.30
1.00,1.00,37.00,3.12,0.37
1.00,1.00,33.00,2.09,-1.28
1.00,0.00,28.00,3.55,2.54
1.00,0.00,26.00,3.08,-1.53
1.00,1.00,29.00,2.71,0.63
1.00,1.00,31.00,2.86,1.69
1.00,1.00,36.00,2.93,-0.81
1.00,1.00,36.00,3.33,0.66
1.00,0.00,25.00,3.50,-0.04
1.00,1.00,32.00,2.67,-0.50
1.00,1.00,35.00,3.01,1.14
1.00,1.00,48.00,3.50,-0.39
1.00,0.00,39.00,3.21,0.73
1.00,1.00,33.00,3.30,-1.09
1.00,1.00,22.00,2.59,0.67
1.00,0.00,27.00,2.80,1.07
1.00,0.00,37.00,3.05,-0.13
1.00,0.00,23.00,2.93,-0.94
1.00,1.00,41.00,3.28,0.18
1.00,1.00,30.00,3.09,0.69
1.00,0.00,24.00,3.18,-1.24
1.00,0.00,30.00,2.80,-0.48
1.00,1.00,32.00,2.66,0.07
1.00,0.00,44.00,2.88,0.32
1.00,1.00,28.00,2.36,-1.12
1.00,0.00,36.00,3.18,-0.89
1.00,0.00,40.00,3.40,0.29
1.00,0.00,28.00,3.27,0.07
1.00,0.00,27.00,3.37,-1.35
1.00,0.00,32.00,3.33,0.27
1.00,0.00,27.00,3.08,-1.21
1.00,0.00,30.00,2.82,-1.48
1.00,1.00,40.00,3.05,-0.28
1.00,1.00,29.00,2.76,-0.95
1.00,1.00,25.00,3.17,0.48
1.00,1.00,29.00,3.08,-0.90
1.00,1.00,44.00,2.42,1.72
1.00,0.00,27.00,3.82,-1.24
1.00,0.00,26.00,2.57,0.18
1.00,1.00,31.00,3.41,0.35
1.00,1.00,32.00,3.42,-1.39
1.00,0.00,39.00,2.71,-0.29
1.00,0.00,26.00,2.23,1.69
1.00,0.00,35.00,2.83,1.47
1.00,1.00,26.00,3.39,-1.34
1.00,1.00,26.00,2.30,0.53
1.00,0.00,46.00,3.55,0.20
1.00,0.00,30.00,2.14,0.30
1.00,1.00,35.00,3.29,0.98
1.00,0.00,31.00,2.98,0.37
1.00,1.00,36.00,3.23,0.26
1.00,1.00,26.00,3.24,0.12
1.00,1.00,29.00,2.79,0.66
1.00,1.00,36.00,4.18,-1.58
1.00,0.00,29.00,2.47,-2.02
1.00,1.00,32.00,2.79,0.52
1.00,0.00,31.00,3.01,-0.19
1.00,0.00,26.00,2.57,-0.35
1.00,0.00,40.00,3.55,-0.08
1.00,1.00,26.00,3.01,1.64
1.00,0.00,27.00,2.23,-0.02
1.00,1.00,33.00,2.63,-0.23
1.00,1.00,32.00,2.75,-1.90
1.00,0.00,24.00,2.29,0.36
1.00,0.00,44.00,3.38,0.15
1.00,0.00,35.00,2.46,-2.38
1.00,0.00,31.00,2.88,1.02
1.00,0.00,32.00,2.60,0.77
1.00,0.00,31.00,3.06,-0.71
1.00,0.00,29.00,2.18,-0.09
1.00,1.00,31.00,2.83,-0.14
1.00,1.00,28.00,2.06,-0.11
1.00,0.00,25.00,2.65,0.76
1.00,0.00,29.00,2.55,-0.29
1.00,1.00,23.00,2.92,0.45
1.00,0.00,33.00,3.01,0.40
1.00,0.00,25.00,2.78,-0.30
1.00,0.00,39.00,3.13,0.29
1.00,1.00,29.00,2.45,-1.19
1.00,1.00,29.00,2.73,-1.03
1.00,1.00,22.00,2.83,-0.83
1.00,0.00,26.00,2.45,-0.87
1.00,1.00,24.00,2.48,-0.63
1.00,0.00,37.00,2.66,0.14
1.00,1.00,36.00,3.60,2.40
1.00,1.00,32.00,3.07,-0.46
1.00,1.00,19.00,2.92,-0.87
1.00,0.00,43.00,4.00,-0.49
1.00,0.00,30.00,3.06,0.08
1.00,1.00,28.00,3.50,2.30
1.00,1.00,38.00,3.02,-0.10
1.00,1.00,37.00,3.44,1.64
1.00,0.00,29.00,2.96,0.61
1.00,1.00,43.00,3.14,-0.53
1.00,0.00,32.00,3.25,1.08
1.00,0.00,32.00,3.11,0.71
1.00,1.00,34.00,3.43,-0.47
1.00,1.00,30.00,2.68,-0.97
1.00,1.00,31.00,3.83,0.31
1.00,0.00,34.00,3.09,0.40
1.00,0.00,25.00,3.02,-0.37
1.00,1.00,35.00,2.99,-0.61
1.00,1.00,31.00,3.15,0.27
1.00,0.00,31.00,3.57,0.02
1.00,0.00,28.00,3.63,-1.03
1.00,1.00,38.00,2.12,-0.50
1.00,0.00,31.00,3.57,0.24
1.00,1.00,41.00,3.26,0.45
1.00,1.00,36.00,2.58,-1.08
1.00,0.00,25.00,3.85,-0.62
1.00,1.00,43.00,3.21,-0.68
1.00,0.00,30.00,2.36,0.14
1.00,1.00,41.00,3.50,-0.80
1.00,0.00,22.00,2.94,0.00
1.00,0.00,33.00,3.03,-1.13
1.00,0.00,39.00,3.56,-0.09
1.00,1.00,30.00,2.75,0.39
1.00,0.00,22.00,3.19,1.47
1.00,0.00,21.00,3.14,0.40
1.00,0.00,36.00,3.98,0.91
1.00,1.00,29.00,2.84,-0.10
1.00,0.00,33.00,3.64,0.19
1.00,0.00,28.00,3.21,2.14
1.00,1.00,28.00,3.40,0.71
1.00,1.00,34.00,2.71,0.17
1.00,1.00,30.00,2.98,-0.34
1.00,0.00,28.00,3.48,0.72
1.00,0.00,40.00,3.01,0.40
1.00,1.00,35.00,3.12,-1.28
1.00,0.00,32.00,2.80,-0.09
1.00,0.00,32.00,3.07,-1.02
1.00,1.00,30.00,3.35,0.49
1.00,0.00,28.00,2.56,-0.29
1.00,1.00,22.00,2.68,-0.27
1.00,1.00,33.00,2.82,-1.14
