race,sex,LSAT,UGPA,ZFYA,first_pf
White,2,42,2.9,-0.62,1
White,2,33.5,3.4,0.69,1
White,2,25,2.9,-0.9,1
White,1,38,3.4,1.23,1
White,2,42,3.6,0.7,1
White,2,37,3.5,-1.64,1
White,2,29.5,3.5,-0.24,1
White,2,41,3.1,-0.05,1
White,1,38,3.6,-1,1
White,1,42,3.2,-0.22,1
White,1,35.5,3.3,2.26,1
White,1,36,3.6,-0.85,1
White,1,39,3.5,-0.71,1
White,2,28,2.9,-1.96,0
White,1,42,3.3,-1.13,1
White,1,43,3.5,0.74,1
White,2,43,3.1,0.29,1
White,2,35,3.2,-0.66,1
White,2,40,3.7,-0.43,1
White,1,42,2.5,-0.41,1
White,1,42,2.7,-0.02,1
White,1,40,3.7,0.21,1
White,1,38,3.5,1.61,1
White,2,40,3.3,-0.96,1
White,1,39,3.5,0.98,1
White,1,36,3.6,-0.58,1
White,1,38,3.6,-0.28,1
White,2,36,3,-1.19,1
White,2,39,3.2,-1.34,1
White,1,37,3.9,0.55,1
White,2,31.5,2.7,0.58,1
White,1,41,4,2.44,1
White,2,41,3,-1.45,1
White,1,36,3.3,1.04,1
White,2,35,3.8,-1.11,1
White,1,39,3.7,-1.58,1
White,1,37,3.8,0.4,1
White,2,37,3.1,-0.51,1
White,2,36,3.8,-0.66,0
White,2,40,3.3,-0.77,1
White,1,45,3.3,0.64,1
White,2,35,2.6,0.02,1
White,1,37,3.6,-0.02,1
White,2,40,3.8,0.64,1
White,2,39,3.4,0.4,1
White,2,33,3.9,0.59,1
White,2,40,3.6,0.55,1
White,2,38,3.8,0.55,1
White,1,41,3.3,0.64,1
White,2,34,2.9,-0.25,1
White,2,40,3.1,1.08,1
Asian,1,38,3.3,-0.02,1
White,1,40,3.2,1.89,1
White,2,32.5,3.4,-0.17,1
White,1,41,3.4,0.17,1
White,1,37,3.5,-0.13,1
White,2,41,3.3,1.51,1
White,1,39,3.6,-0.66,1
White,2,38,3.5,0.42,1
White,2,42,3.1,0.68,1
White,1,37,3.6,1.27,1
Black,1,32,2.8,-1.28,1
White,1,39,3.6,-0.22,1
White,1,32,2.8,-1.09,1
White,2,41,3.1,-0.51,1
White,1,36,3.7,0.17,1
White,2,38,3.4,-1.19,1
White,2,34,3.3,1.02,1
White,2,38,3.6,0.36,1
White,2,43,2.9,0.59,1
White,1,35,3.7,0.64,1
Asian,2,37,3.6,-0.77,1
White,1,37,3.9,1.36,1
White,2,40,3.2,0.59,1
White,1,45,3.2,1.57,1
White,2,39.5,3.3,0.55,1
White,2,40,3.3,2.15,1
White,1,38,3.4,-1,1
White,2,40,3.4,1.36,1
Mexican,1,32.5,2.8,-0.92,1
White,2,36,3.7,0.1,1
White,1,30,3.5,-1.75,1
White,2,37,3.7,0.74,1
Other,1,35.5,3,-1.73,1
Asian,1,31,3.4,-0.23,1
White,2,36,2.7,-0.36,1
White,1,35,2.9,1.25,1
White,1,28.5,3.2,0.57,1
White,2,39,2.4,0.16,1
White,1,41,3.9,1.17,1
White,2,29,3.5,0.2,1
White,2,36.5,3.1,-0.56,1
White,2,39,3.8,-0.32,1
White,2,36,3,0.36,1
White,2,36,2.9,-0.8,1
White,2,36,2.9,0.89,1
White,2,37,2.8,0.77,1
White,2,38,3.2,0.48,1
White,2,31.5,3.1,0.36,1
White,2,37,3.1,0,1
White,2,26.7,3.3,-0.41,1
Black,1,32,3.7,-0.85,1
White,1,31,3,0.44,1
White,1,32.7,3.1,0.2,1
White,2,35,3.2,-0.28,1
White,1,31,3.2,2.48,1
White,2,33,3,-0.4,1
White,1,33,3.1,0.61,1
White,2,34.5,2.9,0.52,1
White,1,39,4.1,1.25,1
White,2,34,3.1,-0.6,1
White,2,34,2.8,1.51,1
White,1,37,2.8,-0.23,1
White,1,25,3.2,-0.64,1
White,2,33,2.9,0.69,1
Hispanic,1,29,3.1,-1.45,1
White,1,34,3,-0.24,0
White,1,34,2.7,1.51,1
White,1,30.5,3,-1.09,1
White,1,33,3.3,0.89,1
White,2,34,2.9,-1.93,0
White,1,30,3.4,0.73,1
White,1,38,2.4,-0.2,1
White,2,32.5,3.1,0.93,1
White,1,40,4,1.17,1
White,1,42,4,0.97,1
White,1,35,3.2,0.27,1
White,1,29,3.4,-0.52,1
White,2,35,2.9,-0.4,1
White,1,32,3.1,-1.17,1
White,2,27,2.3,-1.01,1
White,1,38,3,0.55,1
White,2,31,2.7,-0.2,0
White,1,38,3,0.15,1
White,1,28.5,3.9,0.48,1
White,2,34,2.6,0,1
White,1,31,3,0,1
White,2,33,2.9,-0.2,1
White,1,35,2.7,-1.05,1
White,1,32.5,2.8,0.08,1
White,1,36,2.6,-0.72,0
White,2,37,3.4,0.95,1
White,1,33,3.2,-0.4,1
White,1,37,2.9,0.24,1
White,2,25.5,2.8,-0.08,1
White,2,38,2.6,1.25,1
White,2,34,2.7,-0.12,1
White,2,35,2.9,1.94,1
White,2,29.5,2.8,0.24,1
White,1,41,3,0.2,1
White,2,35,3.2,-1.13,1
White,2,34,2.9,-2.06,1
White,2,42,2.6,1.57,1
White,2,30.5,3.1,0.87,1
White,2,41,2.5,0.9,1
White,2,31.5,3.5,0.2,1
White,1,35,3.7,0.44,1
White,2,31,3.3,0.85,1
White,2,39,3.1,1.19,1
White,2,39,2.9,0.98,1
White,1,40,2.6,0.16,1
White,2,40,3.8,1.85,1
White,2,33,3.2,-0.24,1
White,2,32,3.3,0.36,1
White,2,39,3.3,0.72,1
White,1,39,2.7,0.44,1
White,2,33,3.3,0.24,1
White,2,38,3.7,0.11,1
White,1,40,3.6,-0.09,1
White,2,38,3.4,-0.51,0
White,2,33,3,-0.82,1
White,2,40,3.2,1.73,1
Other,2,42,3.3,1.22,1
Black,2,29,2.8,-1.89,0
White,1,33,3.5,0.05,1
White,2,40,3.4,-1.06,1
White,2,36,3.1,0.53,1
Black,1,25,2.8,-2.22,0
White,2,39,3.6,0.18,1
White,1,41,3.7,0.9,1
White,1,36,3.9,-0.12,1
White,2,44,3.2,0.75,1
White,1,42,3.5,-1.17,1
White,2,46,3.3,-2.08,0
White,2,40,2.2,1.04,1
White,1,41,3.8,1.16,1
Other,1,41,3.4,0.5,1
Other,2,32,2.8,-1.13,0
White,2,37,3.4,-1.02,1
White,1,40,3.5,-0.12,1
White,1,36,3.7,0.77,1
White,1,42,3.5,0.83,1
White,2,35.5,2.9,0.06,1
White,1,37,3.9,0.37,1
White,1,48,2.3,0.8,1
White,1,37,3.1,0.14,1
White,1,35,3.9,0.14,1
Asian,2,33.5,3.2,0.14,1
White,1,47,3.9,-0.2,1
White,1,41,2.8,0.33,1
White,1,40,3.5,0.65,1
White,2,44,3.4,-0.33,1
White,2,38,3,-0.02,1
White,2,39,3.6,0.51,1
Black,1,28,3.4,-2.37,0
White,2,46,2.5,-0.27,1
White,2,42,3,-0.4,1
Hispanic,2,34,2.8,-0.26,0
White,2,34,3.7,-0.96,1
White,2,38,3.3,0.39,1
White,1,33,3.9,0.46,1
White,2,38,3.3,-0.13,1
White,2,34,3.9,-0.23,1
White,2,37,3.7,0.68,1
Asian,2,40,2.8,0.4,1
White,2,45,3.2,0.43,1
White,2,41,3.2,-0.28,1
White,2,36,3.7,0.89,1
White,2,45,3.5,-0.21,1
Hispanic,2,38,3.4,1.02,1
White,1,44,4.1,1.7,1
White,2,41,3.5,-0.1,1
White,2,39.5,3.5,-0.52,1
White,1,41,3.4,0.24,1
White,1,44,3.6,1.62,1
White,2,40.5,3.3,1.95,1
White,1,42,3.6,1.65,1
White,2,40,2,1.2,1
White,1,45,3.4,1.87,1
White,1,40,3.8,0.3,1
White,1,36,3.7,0.05,1
White,1,34,3.2,-0.55,1
White,1,37,3.5,-1.17,1
Black,1,23,2.8,-2.23,0
White,2,38,3.4,-0.3,1
White,2,40,3.5,-0.06,1
White,1,39,3.4,0.57,1
White,2,40,3.2,0.82,1
White,2,33,2.9,0.19,1
White,2,38,3.8,1.16,1
White,2,43,3.8,1.14,1
White,1,38,3.5,0.48,1
White,1,35,3.3,-0.26,1
White,1,39,3.3,1.16,1
White,1,40,3.8,2.25,1
White,1,33,3.3,0.6,1
White,2,37,3.2,1.91,1
Asian,2,35,2.8,0.96,1
White,2,30,2.6,-0.26,1
White,1,38,3.2,0.56,1
Puertorican,1,31,3.7,0.8,1
White,1,40,3,1.45,1
White,2,34,3.7,0.43,1
White,1,42,3.9,0.5,1
White,2,35.5,2.8,1.78,1
White,2,32.5,2.7,1.02,1
White,1,30,3,-0.33,0
Hispanic,2,37,2.5,0.23,1
White,1,35,3.7,0,1
White,1,35,3.5,0.6,1
White,1,37,3.4,0.63,1
Black,2,28,2.7,-0.59,1
Hispanic,1,30,2.9,-0.99,0
White,1,38,3,0.92,1
White,1,33,2.7,-0.24,1
White,1,47,2.9,0.56,1
White,2,38,2.8,-0.79,0
Puertorican,2,34,2.8,-0.86,1
Amerindian,1,34,3.1,-0.56,1
White,2,34,3.4,-0.43,1
Black,1,29,2.5,-2.01,0
White,2,40,3.2,-0.36,1
White,2,30,2.7,0.06,1
Asian,2,26,2.5,-0.5,0
White,2,33,3.8,1.58,1
White,2,36,2.3,1.65,1
White,2,35,2.9,-0.13,1
White,1,30,2.9,-0.43,0
White,2,27,2.7,-0.72,1
White,2,38,3.2,0.63,1
White,2,28.5,2.1,-1.88,0
White,1,37,3.3,-0.13,1
White,2,39,2.4,-0.1,1
White,2,41,2.4,1.61,1
Hispanic,2,33,2.3,0.99,1
White,2,45,2.6,-1.05,0
White,2,33,3.4,-0.03,1
Hispanic,2,27,3.6,-0.1,1
White,1,40,3.7,1.75,1
White,1,36,3.1,-0.43,1
White,1,36,3.2,1.29,1
Asian,2,20,3.2,-1.87,0
White,2,36,3.8,-0.99,1
White,2,36,3.3,-0.12,1
White,1,42,3.4,0.99,1
White,2,40,3.6,0.73,1
Puertorican,2,26,3.6,-1.15,0
White,2,37,3.8,0.6,1
White,2,45,3.6,1.35,1
Asian,2,23,3.2,-0.1,1
White,2,30.5,2.4,-0.89,0
White,1,38,3,-0.69,1
Black,1,25,2.5,-0.89,1
White,1,35,3,0.68,1
Black,1,20,3,-1.02,0
Asian,1,28,2.8,-1.38,0
White,2,38,3.2,0.07,1
Puertorican,1,20.5,2.8,-1.19,1
White,2,44,3,1.45,1
White,2,29,2.9,1.16,1
White,2,45,2.6,-0.03,0
White,2,36,2.8,-1.19,1
Black,1,21,3,-1.32,1
Asian,2,28,2.2,-0.79,1
White,2,35,3.3,0.9,1
White,2,36,3.1,-0.59,1
White,2,37,3.4,0.43,1
Puertorican,1,29,3.2,-0.89,1
White,2,33,3.4,1.62,1
White,2,36,3.2,0.27,1
White,1,42,3.4,0.92,1
Asian,2,29.5,2.7,-1.38,1
Asian,2,27,3.1,-1.68,1
White,2,37,3.3,0.03,1
Puertorican,1,22,3.3,-0.76,1
White,1,33,3.3,0.2,1
Other,2,27,3.3,-0.03,0
Asian,2,28,3.3,-1.32,1
White,1,35,3.1,-0.14,1
White,2,28,3.7,0,1
Asian,2,34,2.6,-0.3,1
White,1,22.5,3.3,-1.45,0
White,2,41,3.6,0.05,1
Mexican,2,33,3.1,-0.24,1
White,2,40,3,-0.1,1
White,2,40.5,3.5,0.58,1
White,1,40,3.7,-0.43,1
Black,1,28,3.3,1.37,0
White,1,41,2.4,-0.59,1
White,2,47,2.8,-0.14,1
White,2,38,2.5,-1.69,0
White,1,26.3,3.4,-1.73,0
White,1,43,3.3,0.87,1
White,1,34,3.4,-1.36,1
White,2,40,3.6,-0.08,1
White,1,37,3.4,-0.51,1
White,2,35,2.8,-0.96,1
Asian,1,44,3.7,0.34,1
White,2,38,2.4,1.38,1
White,2,44,3.6,1.88,1
Other,1,32,3.9,0.13,1
White,2,43,4,0.87,1
White,1,42,3.4,0.67,1
White,2,46,3,0.27,1
White,1,43,3.5,0.58,1
White,2,43,3,0.54,1
White,2,41,3.7,0.75,1
White,1,42,3.9,-1.21,1
White,2,28,2.8,-0.76,1
Amerindian,2,27.5,3.5,-1.54,0
White,2,46,3.3,-0.76,1
White,2,45,3.5,0.87,1
White,2,42,3.7,1.92,1
White,2,42,3.6,0.81,1
White,1,45,3.2,-0.16,1
White,1,42,3.5,0.71,1
Asian,1,45,3.4,-1.25,1
White,2,44,3.4,-0.33,1
White,1,41,3.5,-1.25,0
White,2,41,3.6,2.05,1
Hispanic,1,35,3.6,-1.36,1
Black,2,34,2.7,-1.56,0
Black,1,32,2.7,0.71,1
White,1,47,3,0.71,1
White,2,44,3.4,0.81,1
Hispanic,2,42.5,2.3,-1.25,1
White,1,39.5,3,-1.32,0
White,1,41,3.5,1.84,1
White,2,29.5,2.9,-0.33,1
White,2,45,3.6,0.34,1
Asian,2,33,3.9,-0.41,1
Mexican,2,35,2.5,0.19,1
White,2,43,3.7,-0.26,0
White,2,44,3.2,1.08,1
White,2,46,3,-1.27,0
White,1,39,3.6,-1.73,0
White,1,43,3.3,1.82,1
White,1,42,3.6,1.39,1
White,1,48,3.7,1.26,1
White,2,33,2.5,-0.32,1
White,1,40,3.8,-0.18,1
White,1,38.5,3.4,-0.74,1
White,1,40,3.6,0.09,1
Asian,1,44,3,-0.9,1
White,1,41,3.6,-0.06,1
Asian,1,43,3.3,-0.16,0
Asian,2,47,3.4,1.22,1
White,2,43,3.4,0.56,1
White,1,42,3.6,1.45,1
White,2,38,3.9,0.6,1
White,1,35.5,2.5,-0.24,1
White,1,37,3.7,1.04,1
White,1,42,3.5,0.69,1
Hispanic,1,46,3.1,-0.57,1
White,2,42,3.6,-0.92,1
White,2,45,3.3,0.6,1
Other,1,40,3.7,-0.66,1
Other,1,38,3.6,-0.22,1
White,2,42,3.1,-0.41,1
White,2,43,3.2,-1.07,1
White,2,31,2.6,-0.43,0
Asian,1,42,3.7,1.22,1
White,2,39,3.7,-1.5,0
White,2,47,3.1,1.32,1
White,1,41,3.8,-0.51,1
White,2,33,3.6,-0.99,1
White,1,42,3.4,-0.08,1
White,1,46,3.3,1.04,1
White,2,32.3,3.3,-0.71,1
White,1,37,3.5,-1.69,0
Asian,1,41,3.6,0.85,1
White,1,39,3.9,-0.35,1
White,2,42,3.4,-0.16,1
Black,2,28.5,2.4,-1.54,0
White,2,44,3.6,0.77,1
White,2,40,3.6,0.67,1
Hispanic,2,37,2.5,-1.67,0
White,2,39,3.7,1.37,1
White,1,28.5,2.6,-0.95,1
White,2,44,3.2,-1.69,0
White,2,40,3.4,0.69,1
White,1,46,3,0.95,1
White,1,42,3.7,1.14,1
White,2,40,3.7,-0.22,1
White,1,41,3.6,0.36,1
White,1,46,3.5,2.11,1
Black,2,42,2.5,-0.59,1
White,2,37,3,1.72,1
White,2,39,2.9,1.67,1
White,1,31,2.5,0.02,1
White,1,36,2.9,-0.78,1
White,1,32.5,3.3,0.56,1
White,2,35,2.3,0.95,1
White,2,41,2.9,0.74,1
White,2,30.3,2.9,-0.59,1
White,2,37,3.2,-0.32,1
White,2,36,3.8,0.99,1
White,2,36,3.1,-0.37,1
White,2,39,2.9,0.49,1
White,1,29.3,3.2,-0.88,1
White,1,35,3.2,-0.86,1
White,1,33.5,3.3,0.03,1
White,2,34,3.4,-0.94,1
White,1,38,2.8,-0.58,1
White,2,37,2.5,0.14,1
White,1,34.3,2.8,-0.55,1
White,1,41,2.8,0.66,1
White,2,26,3.5,0.72,1
White,1,36,2.9,-0.48,1
White,2,34,2.8,-0.16,1
White,2,38,2.7,1.15,1
White,2,38,2.6,-0.78,1
White,2,35,2.9,0.22,1
White,1,35,3.5,1.08,1
White,1,46,2.7,0.8,1
White,1,35,3,0.53,1
White,2,33,2.1,-0.62,1
White,2,35,3.2,0.92,1
White,1,28,3.3,0.37,1
White,2,36,2.9,0.28,1
White,1,35,2.9,0.09,1
White,1,32,3.8,-0.39,1
White,1,32,2.9,0.68,1
White,2,40,3.3,0.34,1
White,1,31,3.9,0.14,1
White,2,35,3.6,-0.33,1
White,1,32,3.1,-0.9,1
Black,1,29,2.5,-0.25,0
White,2,35,2.8,-1.24,0
White,1,40,3.4,1.86,1
Black,1,34,3.3,1.75,1
Black,2,27,3.5,-0.93,1
Black,1,30,3.3,0.29,1
Black,2,31,2.2,0.21,0
Black,1,23.3,2.7,-1.56,0
Asian,2,30.7,1.9,-0.02,0
Black,1,29,3.2,1.12,1
Black,1,33,2.3,0.16,1
Asian,1,29,2.7,0.16,0
Black,1,39,3.2,1.03,1
Black,1,32.5,2.6,1.94,1
Black,2,32,2.9,-0.57,0
Black,2,31,3.1,0.62,1
White,2,37,3,-0.04,1
White,1,30.5,3,0.77,1
Black,1,27,2.8,-1.06,0
Black,2,36,2.6,0.41,1
Black,2,29,2.1,-0.56,1
White,1,36,3.3,0.55,1
Asian,1,30,2.8,0.05,0
Black,1,32.5,2.1,0.76,1
White,2,23.5,3.6,0.69,1
Black,1,31,2.9,-0.9,0
Black,1,31,3.1,-0.62,1
Black,2,30,2.7,1.14,1
Black,2,31,2.9,-1.69,0
Black,2,29,2.7,-1.03,0
Black,2,28,2.8,-0.09,1
White,2,40,1.7,0.52,1
Hispanic,1,29,3.6,-0.58,0
Hispanic,2,29,2.5,0.56,1
Black,1,34,3.3,-1.24,1
Black,2,30,3.4,0.71,1
Black,1,28.5,2.2,-0.31,0
Black,1,36,2.2,-0.55,0
Black,2,31,2.8,0.02,1
Black,1,31,2.2,-0.48,0
White,2,35,2.3,1.69,1
Black,1,35,3.2,0.78,1
Black,1,34,3.2,0.97,1
Asian,2,30,2.8,-0.69,0
Black,1,32,3.4,0.1,1
White,1,37,2.7,-0.64,1
White,2,34.5,1.9,-0.93,1
White,2,36,2.7,0.78,1
Black,1,26,3.6,0.03,0
Black,1,34,3.1,-0.35,1
White,2,28,3.9,0.6,1
Black,1,26,2.9,-0.14,1
Black,1,26.5,2.8,-2.14,0
Black,2,37,1.9,-0.96,0
Black,1,32,2.1,-0.62,1
Black,1,20,2.7,-0.93,0
White,2,31.5,2.4,-0.06,0
Black,1,33,3.7,-0.55,1
White,1,35,2.7,-0.28,1
Black,2,31.5,2,-0.68,1
Black,2,23.3,3.5,0.21,1
Black,1,29,2.7,-0.04,1
Black,2,32,2.2,-0.91,0
White,2,39,2.5,1.4,1
Black,1,33,2.2,-1.41,1
White,1,33,3,-0.72,0
Asian,1,31,2.7,0.14,0
Black,1,29.5,2.4,-0.17,1
Black,1,30,2.6,0.89,0
Black,1,28,2.7,-0.02,1
Black,2,29,2.6,-1.18,0
White,1,30.3,2.5,-0.43,1
Black,2,32,2.6,-0.8,1
Black,2,26,3.1,-0.05,0
Black,2,32,3,1.22,1
Black,1,32,3.4,-1.68,0
Black,1,39,2.2,1.72,1
Black,1,29,2.6,-1.36,1
Black,1,30,3.6,-0.02,1
Black,1,36.5,2.9,1.59,1
Black,1,24,2.7,0.57,1
Black,2,32,3.5,0.59,1
Black,1,35,2.3,0.46,1
Black,1,39,3.4,1.61,1
Other,1,25,3.6,1.73,1
Black,1,32,3,0.46,1
Black,1,34,2.9,-0.36,1
Black,1,28,3,1.09,0
Black,1,35,2.7,-0.21,1
Asian,1,26.5,3.1,-0.21,0
White,1,32,3,0.88,1
Black,2,30,3.3,1.39,1
Black,1,28,3.1,2.23,1
Black,1,23.5,3.6,-0.52,0
Black,2,39,2.9,2.6,1
White,2,40,3.6,0.24,1
Black,2,32,2.6,1.44,1
White,1,35,2.8,2.36,1
Black,1,30,2.5,0.18,1
Black,1,33,2.9,0.44,1
Black,2,23,3.5,0.8,1
Black,2,29,2.6,-0.61,1
Black,1,32,2.7,-1.04,1
White,1,35,3,0.05,0
Black,2,27.5,2.4,-0.45,1
Black,2,41,2.1,0.71,1
Black,2,30,2.5,-0.69,1
Black,1,29,2.4,0.49,1
Black,2,34,3.1,1.52,1
Black,1,32,3.2,1.14,1
Black,1,26,3,1.49,1
Black,1,30,3.4,-2.6,0
White,2,40,3.7,-0.39,1
White,1,46,4,1.12,1
White,2,44.5,3.6,0.57,1
Black,2,33,3.3,-0.82,1
White,2,47,3.7,1.22,1
Black,2,35.5,3.6,-0.75,1
White,2,45,3.1,-0.82,1
White,2,41,3.2,-1.21,1
White,1,42,4,0.37,1
White,1,46,3.7,1.55,1
White,1,46,2.6,1.22,1
White,2,45,3.4,-1.27,1
White,2,45,3.6,1.59,1
White,1,48,3.6,0.93,1
White,1,41,3.7,0.19,1
White,1,41,3.6,-0.46,1
White,1,45,3.6,1.83,1
White,2,46,3.6,0.87,1
White,2,45,3.8,-1.31,0
White,2,45,3.4,-2.96,1
White,1,43,3.8,-0.33,1
Other,1,41,3.4,0.3,1
White,1,43,3.5,-0.53,1
White,2,41,3.5,-0.65,1
White,2,44,3.2,2.33,1
Black,2,34,3.2,-1.48,0
White,2,47,3.5,0.62,1
Hispanic,2,45,3.9,0.09,1
White,1,39,3.9,0.23,1
White,1,45,3.7,-1.47,0
White,2,34,3.6,0.98,1
White,2,45,3.5,-1.14,1
White,2,39,3.8,-0.27,1
White,2,42,3.6,-0.54,1
White,1,39.5,3.6,-0.09,1
Other,2,29.5,3.8,-0.72,1
Black,1,28,3.1,-1.24,1
White,2,42,3.1,-0.57,1
Black,1,29,2.6,-1.1,0
White,2,42,3.6,-0.33,1
White,1,44,3.6,-0.55,1
White,2,42,3.8,0.28,1
White,1,40,3.3,-0.78,1
White,1,42,3.6,0.27,1
Black,1,34,3.7,-1.87,1
White,1,44,3.6,0.1,1
Black,1,24,3.9,-1.21,1
Black,2,38,3.4,-2.64,1
Black,1,36,3.5,-0.91,1
White,1,46,3.6,1.5,1
White,2,42,3,-0.76,1
Hispanic,2,48,3.1,0.99,1
Hispanic,1,41,3.7,-0.94,0
White,2,37,3.6,0.32,1
White,2,37,3.7,-0.19,1
White,2,43,3.7,-0.85,1
White,2,44,3.2,-1.08,1
White,2,45,2.9,0.52,1
White,1,41,3.2,0.13,1
White,2,39,3.7,0.38,1
White,2,41,3.9,0.61,1
Asian,1,40.5,3.5,-0.47,1
Hispanic,1,41,3.5,-1.08,1
White,2,44,3.9,0.54,1
White,2,45,3.2,-0.15,1
White,1,39.5,3.7,-0.72,1
White,2,42.5,3.7,0.07,1
White,2,42,3.6,-0.16,1
White,1,39,3.4,0.1,1
White,1,44,3.2,0.99,1
White,2,43,3.7,0.77,1
White,2,44,3.7,0.77,1
White,2,42,3.1,-0.22,1
White,1,42,3.7,-0.03,1
White,1,40.5,3.6,0.45,1
White,2,42,3.8,0.51,1
White,1,46,3.5,-0.31,1
White,2,42,3.5,0.2,1
White,1,44,3.8,1.08,1
White,2,46,3.3,1.72,1
White,1,46,3.4,1.5,1
White,2,46,3.5,0.51,1
White,2,41,3.8,-1.36,1
White,1,44,3.7,0.22,1
White,2,41,3.3,-0.25,1
White,1,41,3.1,-1.3,1
White,1,48,3.4,1.44,1
Asian,2,41,3.4,-0.92,1
Asian,1,37.5,3.6,-0.82,1
White,1,48,3.7,2.42,1
White,1,35,3.5,-0.12,1
White,2,43,3.6,0.93,1
White,1,40,3.9,-0.12,0
White,2,44,3.2,1.66,1
White,2,43,3.5,-0.6,1
White,1,44,3.4,1.53,1
Mexican,1,31,3.4,-1.65,1
White,2,41,3.7,-1.84,0
White,1,41,3.4,0.54,1
White,1,38,3.6,0.26,1
White,2,42,3.6,1.34,1
White,2,46,3.5,0,1
Hispanic,1,40,3.9,-0.63,1
White,2,37.7,3.4,0.25,1
White,2,40,3.8,0.48,1
White,1,40,3.7,-0.16,1
White,2,42,3.9,-0.63,1
Puertorican,1,44,3.5,0.67,1
White,2,41,3.4,0.41,1
White,1,42,3.3,-0.15,1
White,1,42,3.6,1.63,1
Asian,1,41,3.7,0.1,1
White,2,42,3.3,1.18,1
White,1,42,3.5,0.48,1
White,1,41,3.7,0.04,1
White,2,46,3.1,1.98,1
Asian,1,43,3.4,-0.02,1
White,2,32.5,3.1,-2.06,0
White,2,40,3.7,-0.25,1
Asian,2,39,3.9,-0.15,1
Asian,2,42,3.6,1.69,1
White,1,38.5,3.6,0.74,1
Asian,1,43,3.6,0.86,1
White,2,39,3.5,1.4,1
White,2,44,3.1,0.93,1
White,2,41,3.4,-0.6,1
White,1,43,3.4,-0.6,1
White,1,41,3.6,-1.71,1
White,2,44,3.3,0.01,1
White,2,45,3.6,0.9,1
White,2,41,3.6,-0.22,1
White,2,41,3,1.34,1
Mexican,2,32,3.3,-1.01,0
White,1,40,3.8,0.55,1
White,2,47,3.5,-0.6,1
White,2,36,2.8,-1.07,1
White,2,32,3.3,-0.4,1
White,2,39,2.8,-0.49,1
White,2,29.5,3.4,0.92,1
Asian,2,37,3,0.53,0
White,1,35,3.6,1.78,1
White,2,29,3.3,0.58,1
White,1,39,2.4,-0.47,1
White,2,31,3.4,0.46,1
White,1,39,3.7,1.74,1
White,1,32,3.4,-1.21,1
White,2,37,2.9,-0.66,1
White,2,30,3.4,-1.07,1
White,2,38,2.7,-1.07,1
White,1,35,3.6,-0.24,1
White,2,34.5,2.5,0.74,1
White,2,38,2.5,-0.91,1
Black,2,17.5,3.6,-1.54,1
